texto_es, texto_en, polaridad
97sobre100 cien días cien realidades. cuencaunida es una gestión 💯/💯 👏👏👏,97sobre100 cien das cien realidades cuencaunida es una gestin  ,neutral
el respaldo del pueblo a la gestión del alcalde,the support of the people to the management of the mayor,neutral
la asociacion de emprendedores de quinta chica apoyando la gestion del ing. pedro palacios.,the association of fifth girl entrepreneurs supporting the management of ing Pedro Palaces,positivo
seguridad cerosobre100,security  cerosobre100,neutral
...en sus declaraciones a los asistentes dijo ser objeto de ataques por parte de quienes habrían estado involucrados en supuestos actos de corrupción y de quienes ahora no están contentos por tener que trabajar en serio., in his statements to the attendees he said he was the object of attacks by those who would have been involved in alleged acts of corruption and who are now not happy to have to work seriously,negativo
trabajando conjunto de la corporación municipal por una cuencaunida,working together of the municipal corporation for a cuencaunida,neutral
y que celebran???,and what do they celebrate ,neutral
el ing. andrés peñafiel director de delegado del alcalde comenta sobre la importancia de priorizar las obras con el fin de mejorar la calidad de vida de las familias de bellavista.,the ING Andres Peafiel Deputy Director of the Mayor comments on the importance of prioritizing the works in order to improve the quality of life of Bellavista families,neutral
estimados por favor se sabe qué hay cambios de horarios pero para el sector de la loma de machángara y ejecutivode ricaurte falta organizar no están llevando toda la basura,Dear please know what there are schedule changes but for the sector of the hill of Machngara and executive of Ricourte need to organize are not carrying all the garbage,neutral
¿cómo así una década? no creo que el proyecto tranvía sea desde el 2009,How so a decade I dont think the tram project is since 2009,neutral
cuenca: en tiempo de mundialitodelospobres🏆 finaliza el primer partido de la noche con el marcador. ⚽️ todos santos 3🥅 ⚽️ luis cordero 5🥅 elequipoganador,cuenca en tiempo de mundialitodelospobres finaliza el primer partido de la noche con el marcador  todos santos 3  luis cordero 5 elequipoganador,neutral
el compromiso para se demuestra con sus obras y esto ha demostrado el 97sobre100,The commitment to is demonstrated with his works and this has been shown on  97sobre100,neutral
siga adelante estimado ingeniero la gestión está a la vista es un alcalde que está con la gente donde se lo necesita,go ahead dear engineer management is in sight is a mayor who is with people where he is needed,neutral
a mi me bloqueo de facebook solo por opinar criticamente a su proceder en la consulta. que pena que tengamos un alcalde al que le interese más su imagen que construir una ciudad donde se cuide la vida.,I block my facebook just for critically commenting on the procedure What a shame that we have a mayor who is more interested in his image than building a city where life is taken care of,positivo
seguridad cerosobre100,security  cerosobre100,neutral
que pasó estoy perdido la razón el porqué la marcha,what happened Im lost the reason why the march,neutral
alcalde desde la glorieta del parque calderón se dirige a los participantes durante la marcha por la democracia. 97sobre100,Mayor from the roundabout of Caldern Park addresses the participants during the  March for Democracy  97over100,neutral
¡buenas noticias "seamos útiles" es la campaña que la alcaldia de y la corporación juventud independiente emprenden para niños de escasos recursos les invitamos al lanzamiento.,good news Lets be useful is the campaign that the mayors office and the independent youth corporation undertake for lowincome children we invite you to launch,positivo
el trabajo se puede ver y nuestro alcalde seguirá realizando obras para nuestra hermosa ciudad.. 97/sobre100,the work can be seen and our mayor will continue to carry out works for our beautiful city   97  sobre100,positivo
97sobre100 que pasaría con las encuestadoras nuevamente se equivocan andan en mala racha o mejor dicho no atinan a una la mejor encuesta es el pueblo respaldando, 97about 100 what would happen to the pollsters again they are wrong they are in a bad streak or rather they do not hit one the best survey is the people supporting,positivo
no todos los taxistas son ladrones no podemos generalizar. lo que si me parece absurdo es que a los señores taxistas se les haya manipulado para que vayan a esa marcha. son padres y madres de familia que comen de allí y ante las "propuestas" administrativas tuvieron que ir.,Not all taxi drivers are thieves we cannot generalize what seems absurd to me is that the taxi drivers have been manipulated to go to that march they are fathers and mothers who eat from there and before the administrative proposals they had to go,negativo
la ciudadanía a demostrado que confía en una administración transparente y positiva.,citizens have shown that they trust a transparent and positive administration,positivo
ese irresponsable borracho si y ahora campante en la marcha del alcalde,that irresponsible drunk yes and now roar in the march of the mayor,negativo
cuenca: luego de la marcha por una democracia participativa el alcalde expresa su gratitud y compromiso por el respaldo ciudadano. 97sobre100,basin after the  march for a participatory democracy the mayor expresses his gratitude and commitment to citizen support  97over100,neutral
y todavía van a seguir tres días más con eso. mañana se viene el día 98/100. apoyo a la gestión del nuevo alcalde pero no hay que ser cansones.,and they will still continue three more days with that tomorrow comes the day 98100 support for the management of the new mayor but do not be tired,positivo
será este señor tal vez ?,will this man be maybe,neutral
horroriza verle en la foto de casaca amarilla al agente patricio chapa que hace poco manejo en estado etílico y destrozó el carro de un familiar que hace ahí ese sujeto  cubrió la noticia aquel día de que gente se rodea alcalde,It is horrifying to see in the photo of the yellow jacket the agent Patrick Chapa who recently drove in an ethyl state and destroyed the car of a relative what does that guy do there  covered the news that day that people surround themselves mayor,negativo
"no vivimos de la política" afirma alcalde durante la marcha que respalda su gestión. cuenca,We do not live on politics says the mayor during the march that supports his administration basin,negativo
que viva cuenca. tenemos un alcalde honesto y sin compromisos más que con la ciudad,Long live basin we have an honest mayor without compromises more than with the city,positivo
100 días /100 realidades para cuenca. vamos por más obras. cuencaunida 97sobre100,100 days  100 realities for basin Lets go for more works cuencaunida  97sobre100,positivo
100 días /100 realidades para cuenca. vamos por más obras. cuencaunida 97sobre100,100 days  100 realities for basin Lets go for more works cuencaunida  97sobre100,positivo
✅🧠con entusiasmo todo absolutamente todo es posible  97sobre100 cuencaunida,con entusiasmo todo absolutamente todo es posible  97sobre100 cuencaunida,neutral
el apoyo se ve reflejado en estos 100 primeros días de gestión a través de una cuencaunida,support is reflected in these first 100 days of management through a cuencaunida,positivo
j aj aaaaa cada vez palacios se va pareciendo a lenin (el inepto)...,j aj aaaaa palaces every time looks like lenin the inept ,neutral
hoy 19 de agosto desde las 19h00 elequipoganador por ciudad 101.7 fm en el mundialitodelospobres🏆 ⚽️ todos santos - luis cordero ⚽️ cdla. une - cdla. álvarez ⚽️ el vecino - fátima,hoy 19 de agosto desde las 19h00 elequipoganador por ciudad 1017 fm en el mundialitodelospobres  todos santos  luis cordero  cdla une  cdla lvarez  el vecino  ftima,neutral
la ciudadanía reconoce el trabajo que realiza señor alcalde las acciones se incrementarán en los próximos años. 97sobre100,citizens recognize the work done by the mayor the actions will increase in the coming years  97over100,neutral
en la calle sangurima y vargas machuca las rieles del tranvia es la mejor opción para la venta de informales produciendo inseguridad insalubridad y una mala imagen a la ciudad.,in the street sangurima and vargas machuca the tram rails are the best option for the sale of informal producing insecurity unhealthiness and a bad image to the city,positivo
97sobre100 en obras por cuenca, 97sobre100 in works by cuenca,neutral
juntos somos más cuencaunida basada en un ideal 97sobre100,Together we are more cuencaunida based on an ideal  97over100,positivo
las obras se ven en una cuencaunida 👏👏👏,las obras se ven en una cuencaunida ,neutral
tremenda falacia han sido100 días de dubitaciones incoherencias e incompetencia 0 planificación y 100% de quejadera sobre la anterior adm. 0 obras própias todas anteriores y una lista enorme de fliares y verdeflexes dentro de la nómina.,Tremendous fallacy has been 100 days of doubts inconsistencies and incompetence 0 planning and 100 complaints about the previous adm 0 own works all previous and a huge list of fliares and verdeflexes within the payroll,positivo
el principio de "línea de masas" como muestra de fuerza respaldo o poder es un principio maoista. lo han usado desde populistas hasta anarquistas como acción política de coyuntura. no entiendo esta acción de un alcalde no-político como dijo ser,The principle of mass line as a sign of strength support or power is a Maoist principle They have used it from populists to anarchists as a political action I dont understand this action of a nonpolitical mayor as he claimed to be,positivo
empleo.produccion. educación. seguridad y salud para cuando???,employmentproduction education Health and safety for when ,neutral
marcha donde están los vendedores informales de la feria libre y todos los taxistas ladrones nos invita a pensar en que nada cambiará: no habrá nuevo mercado el arenal como ofreció palacios no habrá uber no habrá cambios,March where are the informal sellers of the free fair and all thief taxi drivers invites us to think that nothing will change there will be no new market the arena as it offered palaces there will be no uber there will be no changes,positivo
vamos señor alcalde demuestre q no nos equivocamos y q iremos por buen camino con lo prometido en campaña.... a seguir adelante 💪💪,vamos seor alcalde demuestre q no nos equivocamos y q iremos por buen camino con lo prometido en campaa a seguir adelante ,neutral
créame tenemos puesta la fe en usted y cuide mucho esta clase de eventos que insisto pueden dar otra impresión nuestra política requiere otra imagen y estos actos no hacen cambio al contrario recuerdan ese mal pasado que queremos salir con ud.,Believe me we have faith in you and take great care of this kind of events that I insist can give another impression our policy requires another image and these acts do not change the opposite remember that bad past that we want to go out with you,positivo
el cariño y el respaldo de la ciudadanía para nuestro alcalde impregnado en una fotografía 97sobre100,The love and support of citizenship for our mayor impregnated in a photograph  97sobre100,positivo
estoy convencida que vamos por buen camino su transparencia e integridad me enorgullece. por una cuencaunida y sobre todo justa y solidaria,I am convinced that we are on the right track its transparency and integrity makes me proud for a cuencaunida and above all fair and supportive,positivo
esa la suma de cada día trabajando en favor de la querida. éxitos alcalde,That is the sum of each day working for the darling successes mayor,neutral
37sobre100,37sobre100,neutral
dgrinforma👇🏻 reporte climatológico nocturno 🌃 fecha: 19/08/2019 hora: 19h00,dgrinforma reporte climatolgico nocturno  fecha 19082019 hora 19h00,neutral
día a día se construirá la que se necesita 97sobre100,The one that is needed will be built day by day  97sobre100,neutral
esto recién es el comienzo vamos x más días de gestión y obras en cuenca,This is just the beginning We go for more days of management and works in cuenca,positivo
muchas gracias por la respuesta y el respeto solo opino que nuestra política fue tan contaminada por esta clase de actos de los que nos saturó el gobierno anterior y la alcaldía anterior... que tal vez provoquen reacciones no favorables y den otra impresión... no caiga en ello,Thank you very much for the response and respect I only think that our policy was so contaminated by this kind of acts which the previous government and the previous mayors office saturated us  that may provoke unfavorable reactions and give another impression  dont fall for it,positivo
todo el apoyo para sacar adelante a cuenca. felicitaciones señor alcalde. 97sobre100 cuenca,All the support to move the basin forward Congratulations Mr Mayor  97sobre100 basin,neutral
a trabajar por cuenca con responsabilidad y ética,to work by basin with responsibility and ethics,neutral
👏👏vamos x más días de gestión buena,vamos x ms das de gestin buena,neutral
96sobre100 respalda su gestión 💪👏👏,96sobre100 respalda su gestin ,neutral
decisiones bien tomadas para mejorar los servicios en la ciudad cuenca limpia verde y ordenada 97sobre100 👏👏,decisiones bien tomadas para mejorar los servicios en la ciudad cuenca limpia verde y ordenada 97sobre100 ,neutral
todo el apoyo al ing. pedrito palacios en su aceetada gestión,all support ing pedrito palacios in his successful management,positivo
97sobre100 cien obras que cambian 100 realidades, 97over100 one hundred works that change 100 realities,neutral
son realidades y trabajos conjuntos todo por el bienestar del canton,are realities and joint work all for the welfare of the canton,neutral
así se muestra que vamos bien hablando y obrando seguimos claro en el objetivo,This shows that we are doing well talking and working we remain clear in the objective,positivo
97sobre100 el apoyo de la gente es la mejor evidencia de una buena gestión., 97over100 people support is the best evidence of good management,positivo
97sobre100 vamos a seguir construyendo una para las futuras generaciones. cuencaunida, 97over100 we will continue to build one for future generations cuencaunida,neutral
97sobre100 una gestión que habla por sí sola. apoyo total, 97over100 a management that speaks for itself Full support,positivo
el apoyo por parte de la gente hace dar cuenta de que vamos por el camino correcto. 97sobre100,support from people makes us realize that we are on the right path  97over100,positivo
97sobre100 marcha de apoyo, 97over100 support gear,neutral
cuenca | alcalde desde la glorieta del parque calderón se dirige a los participantes durante la marcha por la democracia. 97sobre100,basin  Mayor from the roundabout of Caldern Park addresses the participants during the  March for Democracy  97over100,neutral
se unio 👏👏 ya cambio 100sobre100 por eso te quiero cuenca los buenos somos mas,se unio  ya cambio 100sobre100 por eso te quiero cuenca los buenos somos mas,neutral
estamos encaminados hacia una cuencaunida 97sobre100 👏👏,estamos encaminados hacia una cuencaunida 97sobre100 ,neutral
cuencaunida 97sobre100 creo que las encuestas nuevamente se equivocaron que cosas no....,cuencaunida  97sobre100 I think the polls again were wrong that things didnt ,negativo
creo que la mayoría de las personas que vivimos aquí en confiamos en su capacidad para manejar un complejo municipio fuerza pedro tu puedes hacer la diferencia siendo el primero en no dejar que los mismo de siempre manden y se adueñen de,I think that most of the people who live here in trust in their ability to manage a complex municipality Pedro force you can make a difference by being the first to not let the same people always send and take over,positivo
97sobre100 gracias por su respaldo cuencaunida, 97sobre100 thanks for your support cuencaunida,positivo
multitudinario apoyo de los cuencanos.🙌 97sobre100,multitudinario apoyo de los cuencanos 97sobre100,neutral
👏👏los cuencanos si escogimos a ud como un buen líder apoyo total sr alcalde siga haciendo ma spor 97sobre100,los cuencanos si escogimos a ud como un buen lder apoyo total sr alcalde siga haciendo ma spor 97sobre100,neutral
trabajando como una cuencaunida más obras para nuestra ciudad 97sobre100,working as a cuencaunida more works for our city  97sobre100,positivo
con paso firme. bien sr. alcalde,With firm step good mr mayor,positivo
la gente si sabe lo que s e esta haciendo en cuenca 97sobre100 mi apoyo total señor alcalde,People do know what I am doing in cuenca  97sobre100 my total support Mr Mayor,neutral
obra social mantenimiento vial seguridad operativos y mucho más. 97sobre100,social work road maintenance safety operational and much more  97over100,positivo
el alcalde nunca supo de la organización de esta marcha somos los cuencanos que apoyamos y realizamos la misma xq se ve el cambio.. saludos,the mayor never knew about the organization of this march we are the basins that support and carry out the same xq the change is seen  greetings,neutral
agradece apoyo en marcha,thanks support in progress,positivo
esas son las decisiones sr alcalde  hemos venido insistiendo desde el inicio de nuestra gestión y lo propusimos previo a la asambleaciudadana por la seguridad.,Those are the decisions Mr Mayor we have been insisting since the beginning of our management and we proposed it before the asuncionciudadana for security,neutral
y q pasó con el comodato del estadio para el ?,And what happened to the stadiums bailment for him,neutral
excelente sr.alcalde una gestión de 💯/💯 las obras se ven,excelente sralcalde una gestin de  las obras se ven,neutral
gracias por responder señor alcalde. espero que pronto empiece a funcionar.,Thank you for answering Mr Mayor I hope it will start working soon,neutral
97sobre100 👏👏 excelente alcalde,97sobre100  excelente alcalde,neutral
mi apoyo señor alcalde su trabajo se refleja en grandes cambios positivos 97/100,My support Mr Mayor your work is reflected in great positive changes  97100,positivo
cuenca: luego de la marcha por una democracia participativa el alcalde expresa su gratitud y compromiso por el respaldo ciudadano. cuencaunida,basin after the  march for a participatory democracy the mayor expresses his gratitude and commitment to citizen support cuencaunida,neutral
gran compromiso 97/100 👍👏,gran compromiso 97100 ,neutral
adelante alcalde 100 sobre 100,forward mayor 100 out of 100,neutral
apoyando la democracia y desbaratando la politiqueria. bien pedrito.,supporting democracy and disrupting politics fine pedrito,positivo
yo solo digo señor alcalde ¿cuándo va a funcionar el tranvía? semejante elefante blanco ahí.,I only say Mr Mayor when is the tram going to work Such a white elephant there,neutral
solo por esto creo su gestión no ha sido buena... qué pena esperaba más cayó en lo de siempre y eso ya deja mucho que desear,Just for this I think its management has not been good  what a shame I expected more fell into the usual and that leaves much to be desired,positivo
obras visibles para cuenca. una gestión de 💯/💯👏👏 97sobre100,obras visibles para cuenca una gestin de  97sobre100,neutral
97sobre100 por una mejor, 97over100 for a better,positivo
trabajamos siempre por y para los cuencanos. cuencaunida 97sobre100,We always work for and for the Cuenca cuencaunida  97sobre100,neutral
100 días /100 realidades para cuenca. vamos por más obras. cuencaunida 97sobre100,100 days  100 realities for basin Lets go for more works cuencaunida  97sobre100,positivo
cuencaunida y comprometida para el beneficio de los cuencanos. 97sobre100 👏,cuencaunida y comprometida para el beneficio de los cuencanos 97sobre100 ,neutral
bien ese mantenimiento de calles y veredas 97sobre1000,Well that maintenance of streets and paths  97sobre1000,neutral
las obras son palpables todos los cuencanos podemos evidenciar el mejoramiento vial. 97sobre100,the works are palpable all the basins can show the road improvement  97over100,neutral
son cien días cien realidades con el mantenimiento de vías y veredas capacitación a las comunidades y fomento al turismo estamos comprometidos con la ciudad que todos queremos 97sobre100,They are one hundred days one hundred realities with the maintenance of roads and paths training for communities and promoting tourism we are committed to the city we all want  97sobre100,neutral
cuenca | el alcalde agradece desde el balcón de a las personas que esta tarde expresan respaldo a su gestión durante sus primeros 100 días de administración durante marcha por la democracia.,basin  the mayor thanked from the balcony of people who this afternoon express support for his management during his first 100 days of administration during  march for democracy,positivo
cuenca: al momento se desarrolla multitudinaria marcha en respaldo y aprobación por los 100dias de administración del alcalde .,basin at the moment there is a massive march in support and approval for the  100 days of administration of the mayor,neutral
marcha liderado por el .,march led by him,neutral
por favor vayan por sta. maría (san sebastián) sector escuela jesús vásquez y comprueben el pésimo estado en que están las vías.,please go for this Mara San Sebastian Jess Vsquez School Sector and check the lousy state of the roads,negativo
basta del uso de los empleados municipales para inflar egos cuantas personas fueron para quedar bien con el jefe de turno y no por apoyo a una administración que parece ser buena en marketing y lenta en desiciones. cuencasinpopulismo,enough of the use of municipal employees to inflate egos how many people went to look good with the head shift and not for support to an administration which seems to be good in marketing and slow in decisions cuencasinpopulismo,positivo
mientras no se limpie las calles de venezolanos de los srmaforos y mendigos no se vera bella como tanpoco turismo.,As long as the streets of Venezuelans of the syndicates and beggars are not cleaned it will not look beautiful nor will tourism,positivo
trabajo completo. ya pueden irse.,completed work They can leave now,neutral
por el centro histórico de cuenca se lleva a cabo la marcha de respaldo a los 100días de administración del alcalde,Through the historic center of cuenca the support march to the  100 days of administration of the mayor is carried out,negativo
en cuenca se desarrolla la marcha en apoyo y respaldo a los 100días de la administración del alcalde,in cuenca the march takes place in support and support for the  100 days of the mayors administration,neutral
el man es el man déjenle trabajar en paz yo voté por el y no me voy a equivocar.,The man is the man Let him work in peace I voted for him and Im not going to be wrong,negativo
en estas vacaciones ponte en modo preventivo. vacacionesmásseguras,on these vacations get into preventive mode safer holiday,neutral
acá 0,here 0,neutral
la ayuda humanitaria es una forma de solidaridad y cooperación hacia las personas que más lo necesitan 👏,la ayuda humanitaria es una forma de solidaridad y cooperacin hacia las personas que ms lo necesitan ,neutral
continuamos visitando las colonias vacacionales municipales públicas y privadas del cantón para dar a conocer la campaña vacacionesmásseguras que es impulsada por el alcalde en beneficio de los niños niñas y jóvenes.,We continue to visit the municipal public and private vacation colonies of the canton to publicize the safety holiday  campaign which is promoted by the mayor for the benefit of children and youth,neutral
vive una anomia no dejen que nuestra querida cuenca se pierda.,live an anomy dont let our dear basin get lost,positivo
sr alcalde para cuando la des enttalizacion de los servicio en l cuidad norte centro y sur ahorramos tiempo mejor movilidad y optimizamos nuestro recurso.,Mr Mayor for when the deenttalization of services in the city north central and south we save time better mobility and optimize our resource,positivo
lamentable solo cuando nos duele el bolsillo empiezan los cambios... tienen que aplicar el cobro de las multas para quienes no han colocado la parrilla,unfortunate only when our pocket hurts the changes begin  they have to apply the collection of fines for those who have not placed the grill,negativo
100 obras para nuestra ciudad 97sobre100,100 works for our city  97sobre100,neutral
dgrinforma👇🏻 reporte de vías ⚠ fecha: 19/08/2019 hora de corte: 16h00 fuente:,dgrinforma reporte de vas  fecha 19082019 hora de corte 16h00 fuente,neutral
estimado amigo hay cosas más importantes que comunicar como las obras que durante años no temenos en chaullabamba... q pena lo limitados que estamos..,Dear friend there are more important things to communicate like the works that for years we do not fear in Chaullabamba  what a shame we are limited  ,positivo
si va a cumplir con lo ofrecido en la marcha x la paz hace ya casi 30 días q textualmente dijo en la glorieta si no cumplía con la seguridad hiba a ser el primero en reclamar esa falta de atención xq a se la respeta,If he is going to comply with what was offered in the march for peace almost 30 days ago he said verbatim in the roundabout if he did not comply with security he would be the first to claim that lack of attention because he is respected,positivo
en estos primeros 100dias nos vemos fortalecidos con servidores comprometidos con el desarrollo de nuestra hermosa ciudad.,In these first  100days we are strengthened with servers committed to the development of our beautiful city,positivo
ing por favor ya es hora que mande a los alfas que persiguen a la gente al puro estilo del dr castro esta cayendo en las mismas mañas es urgente un cambio,ing please its time to send the alphas who persecute people in the style of dr castro is falling in the same tricks is a change urgent,neutral
estimados para cuando el tranvía..,Estimated for when the tram ,neutral
amigos recuerden a sus hijos que al quedarse solos en casa deben seguir las siguientes recomendaciones de seguridad. laprevenciónestrabajodetodos,Friends remind their children that when staying home alone they should follow the following safety recommendations the work prevention of all,neutral
siempre es grato ver a nuestros niños niñas y adolescentes disfrutar de la recreación en nuestra colonia deportiva municipal gratuita,Its always nice to see our children and teenagers enjoy recreation in our free municipal sports colony,positivo
bacheo por favor bacheo  léase bien que manera más deshonesta de emitir información me recuerda a los dos anteriores,bump please bump read well that more dishonest way of issuing information reminds me of the previous two,positivo
debe ser complicado atender todos los requerimientos ciudadanos pero lo está logrando alcalde adelante 97sobre100,It must be difficult to meet all citizen requirements but the mayor is making progress forward  97sobre100,negativo
informe de las actividades 100 días de gestión,activity report 100 days of management,neutral
¡¡ seguimos creciendo 💯 nuevas realidades en 💯 días  🤩 cuencaunida 97sobre100, seguimos creciendo  nuevas realidades en  das   cuencaunida 97sobre100,neutral
seguridad cerosobre100,security  cerosobre100,neutral
la mejor forma de predecir el futuro es creandolo 97sobre100 cuencaunida 🧠✅✊🏻✊🏻,la mejor forma de predecir el futuro es creandolo 97sobre100 cuencaunida ,neutral
100 días 100 realidades grandes obras. 97sobre100,100 days 100 realities great works  97over100,positivo
100 días / 100 realidades para cuenca. vamos por más obras cuencaunida 97sobre100,100 days  100 realities for basin Lets go for more works cuencaunida  97sobre100,positivo
maravilla un alcalde que está trabajando por una cuencaunida 97sobre100,wonder a mayor who is working for a cuencaunida  97sobre100,neutral
gracias se debe informar bien es bacheo.,thanks you must inform well is bacheo,positivo
una ciudad de obras y proyectos. se vienen grandes cosas. 97sobre100,A city of works and projects Great things are coming  97over100,positivo
listo ya te salió lo de defensor del cabrera hasta ahí no más pana,ready you came out the defender of the cabrera until there no more corduroy,negativo
por la que todos queremos por una ciudad extraordinaria. 97sobre100,for which we all want for an extraordinary city  97over100,positivo
ojala hayan pedido permiso para ir a la marcha del burgomaestre ,I hope you have asked permission to go to the march of the burgomaster,neutral
las colonias vacacionales han dado un giro ahora son completas con inclusivas. se está volviendo un ejemplo para las otras ciudades del país 🎉👏🏻 97sobre100,las colonias vacacionales han dado un giro ahora son completas con inclusivas se est volviendo un ejemplo para las otras ciudades del pas  97sobre100,neutral
un gran trabajo limpio y transparente 97sobre100,A great clean and transparent job  97sobre100,positivo
que grato es ver la preocupación por la seguridad en cuenca por la informalidad. así da gusto ser cuencana 97sobre100,How pleasant it is to see the concern for safety in the basin for informality So its nice to be a Cuenca  97over100,positivo
por una ciudad mejor cuencaunida 97sobre100,for a better city cuencaunida  97sobre100,positivo
mucho trabajo en los cien primeros días de administración eso demuestra el interés de trabajar por de una manera planificada que éstas acciones continúen. 97sobre100,A lot of work in the first hundred days of administration that shows the interest of working in a planned way that these actions continue  97over100,positivo
¡vamos juntos a reactivar la ruta del tranvía invitamos al lanzamiento oficial de la campaña "voy a la ruta" este martes 20 de agosto. más informes 👇,vamos juntos a reactivar la ruta del tranva invitamos al lanzamiento oficial de la campaa voy a la ruta este martes 20 de agosto ms informes ,neutral
en la galería de se llevó a cabo el evento de homenaje a los deportistas cuencanos que tuvieron una participación destacada durante los xviii juegos panamericanos lima 2019.,In the gallery the tribute event was held for the Cuenca athletes who had an outstanding participation during the 18th Pan American Games Lima 2019,positivo
una responsabilidad que han sabido llevar muy bien 100 días que son un inicio con pie derecho 97sobre100 cuencaunida,a responsibility that they have managed to carry very well 100 days that are a start with the right foot  97sobre100 cuencaunida,positivo
97sobre100 trabajo coordinado por una mejor, 97over100 work coordinated by a better,positivo
se ve una cuencaunida que trabaja por y para cuenca. 97sobre100,You see a cuencaunida that works by and for the basin  97over100,neutral
es momento de ponernos la camiseta pero no una camiseta política sino la camiseta de cuenca. 97sobre100 cuencaunida apoyar la gestión de es apoyar el crecimiento de nuestra ciudad.,Its time to put on the shirt but not a political shirt but the basin shirt  97sobre100 cuencaunida support the management of is to support the growth of our city,neutral
vamos x más obras para mi bella cuenca si en 100días se hizo muchas cosas no me imagino lo que nos espera 97sobre100,Let x more works for my beautiful basin if in 100 days many things were done I can not imagine what awaits us  97sobre100,positivo
desde el 15 de mayo adquirimos una responsabilidad con la ciudad los mercados las parroquias y los grupos vulnerables fueron atendidos en estos cien 100 días 97sobre100,Since May 15 we acquired a responsibility with the city markets parishes and vulnerable groups were served in these one hundred 100 days  97sobre100,negativo
buenas tardes estimado ingeniero teodoro. adjunto los datos en referencia correspondientes a los últimos meses de mantenimiento en pavimento flexible de acuerdo a la localización en parroquias urbanas: saludos a usted.,Good afternoon dear engineer Theodore I enclose the reference data corresponding to the last months of maintenance on flexible pavement according to the location in urban parishes greetings to you,positivo
es lamentable la conducta ciudadana que ha pesar de que hemos acudido a la zona por más de tres ocasiones no se ha corregido este mal hábito es importante recordar que la ciudadanía también es responsable de los residuos y mantener limpia la ciudad.,It is unfortunate the citizen behavior that although we have come to the area for more than three times this bad habit has not been corrected it is important to remember that citizens are also responsible for waste and keep the city clean,positivo
la mejor forma de predecir el futuro es creandolo 97sobre100 cuencaunida 🧠✅✊🏻✊🏻,la mejor forma de predecir el futuro es creandolo 97sobre100 cuencaunida ,neutral
como cuencanos deberiamos estar más unidos que nunca y apoyar la nueva administración. dejando a un lado las críticas todos queremos que salga adelante. no se trata de política señores se trata de ser cuencanos mi apoyo total a la gestión de,as basins we should be more united than ever and support the new administration Criticism aside we all want it to move forward its not about politics gentlemen Its about being Cuenca my total support for the management of,positivo
hoy| alcalde de cuenca inauguró nuevo edificio del registro de la propiedad hasta mañana no habrá atención en los trámites ordinarios. se recuperará los dias cerrados por traslado los dos subsiguientes sábados.,today  Mayor of cuenca inaugurated new building of the property registry until tomorrow there will be no attention in the ordinary procedures the closed days will be recovered by transfer the two subsequent Saturdays,negativo
debe haber un dios egipcio trabajando en el municipio para hacer lo que tardan años en 100 días. lo digo como ingeniero,there must be an Egyptian god working in the municipality to do what it takes years in 100 days I say it as an engineer,neutral
hoy ha spameado que da miedo. siga así sr alcalde y se quedará solo con cuentas troll.,today he has spammed that it is scary Keep it up Mr Mayor and you will be left alone with troll accounts,negativo
estimado alcalde con todo el respeto que usted se merece le recomiendo que deje de retuitear a sus empleados en tema comunicacional se ve terrible. es mejor crear su propio contenido y demostrar con sus palabras los hechos y las obras. saludos,Dear mayor with all the respect you deserve I recommend that you stop retweeting your employees in communicational matters it looks terrible It is better to create your own content and demonstrate the facts and works with your words regards,positivo
nos quedamos sin banda para el baile 😅,nos quedamos sin banda para el baile ,neutral
esa decisión es acertada una necesaria (prioritaria) pues no puede ser que quienes están llamados a brindarnos seguridad estén dedicados a otras actividades. además la retribución que reciben es por aquello y no por dedicarse a practicar y hacer un poco de música,That decision is the right one priority because it cannot be that those who are called to provide us with security are dedicated to other activities In addition the remuneration they receive is for that and not for dedicating themselves to practice and make some music,positivo
la mejor ciudad del ecuador tiene excelentes servicios y grandes obras y así continuaremos 97sobre100,The best city in Ecuador has excellent services and great works and so we will continue  97sobre100,positivo
me podria informar de los 14 km de asfalto en que calles o avenidas me parece que sus datos no estan bien.,Could you inform me of the 14 km of asphalt in which streets or avenues I think your data is not right,negativo
que va ha seguir quejándose??? y a seguir engañando a los cuencanos?? mintiendo y haciéndose la víctima?? solo buscando las 5 patas al gato? trabaje señor palacios busque financiamientos busque socios estratégicos no sólo ande quejándose y de figureti ¡¡trabaje¡¡,What are you going to keep complaining about  and to continue deceiving the Cuencans lying and becoming the victim  just looking for the 5 paws to the cat Work Mr Palacios look for financing look for strategic partners dont just complain and figure Work,positivo
100 días y nada de nada.,100 days and nothing at all,neutral
día mundial de la asistencia humanitaria | felicitamos a todos quienes colaboran con la recuperación y la resiliencia de las familias o comunidades que han sufrido o podrían sufrir percances por motivos de un evento peligroso.,world humanitarian assistance day  We congratulate all those who collaborate with the recovery and resilience of families or communities that have suffered or could suffer mishaps due to a dangerous event,negativo
¿así es como consiguen el "apoyo" de taxistas volviendo a la ley de la selva y destrozando a la institución? vergüenza con palacios a la deriva.,Is this how they get the support of taxi drivers returning to the law of the jungle and destroying the institution shame with drifting palaces,negativo
acompañamos a en cuencaunida 97sobre100,We accompany in cuencaunida  97sobre100,neutral
les invitamos a acompañarnos este miércoles 21 de agosto desde las 9 de la noche junto a  y  se analizarán los 100 días de gestión del alcalde .,We invite you to join us this Wednesday August 21 from 9 pm next to and the 100 days of the mayors management will be analyzed,neutral
